"Tumor_T3"	"Tumor_T4"	"Tumor_T5"	"HT1376_1"	"HT1376_2"	"RT4_1"	"RT4_2"	"SCABER_1"	"SCABER_2"	"SW780_1"	"SW780_2"	"Tumor_T1"
"ENSG00000117020.12"	-64.0584081336386	4.4275570992121	-10.3640121303111	-327.059868146039	-791.740029222277	-46311.5237204194	-10087.3189271366	6.77635774384109	-7.4347238209556	-6925.15338513358	-10002.467997521	-134.3069689014
"ENSG00000103647.8"	-129.880483376555	21.7501304589103	20.0002815279786	19.8749744113789	-21.3475282941025	-1720.32068981292	-2381.37954975914	-71.3170997646904	-208.544074098439	21.7336383512813	18.0403524427192	-138.634401922054
"ENSG00000100266.13"	-19.094023501089	-15.6977032030669	-15.5532650009542	-17.2035087772457	-14.8564621278706	11.2365829940325	32.9457688231853	-29.9124380398564	-32.1548416403772	-6.75574723560488	-5.34702145149283	-14.8982902850144
"ENSG00000161813.16"	-4.6881738390831	-1.02395395608923	-4.64730347844123	-133.074895388098	-61.5551150736319	-7.91835516245527	-56.9115670515474	-25.5849356623081	-58.4096733883566	8.13623177591745	9.09327088228832	-0.220858418468911
"ENSG00000166938.8"	-432.395524468625	-102.248787352855	-75.5863185566565	12.3003480903504	7.13197917496813	-60.9222043761152	4.98210847915118	-305.952845516489	-1277.82977904992	5.43166937238443	3.807416701733	-9.79669449318304
"ENSG00000167536.9"	-3.14734307093113	-8.14221035859882	-8.61258940765811	-18.9215120696244	-15.3231727634968	10.6595034048051	10.8661839854067	-8.47968209267052	-10.9852960350227	-9.4476791463584	-0.175174210446041	-0.491497865254278
"ENSG00000143786.3"	7.02143355869649	8.75100269188608	15.283226709922	43.7306368361441	37.5705177189861	109.443975316407	126.970910253479	73.4219012400543	95.1517210547938	26.4178932895148	31.9519652606188	5.37949098836916
"ENSG00000091490.6"	-27.5806915722589	-10.0518821584888	-5.13036200929456	-5.33133539322905	-0.53404371678649	-328.836184133731	125.679387508633	-1281.93972950114	-1238.76533976234	-333.470394681212	-842.287646509707	3.13104326468302
"ENSG00000135049.11"	-25.8077921151545	7.34497074586657	52.6482596258059	-14.2096205266188	-45.071540836222	-1807.64541535517	-113.082616643082	-250.276193397383	-48.6206116782686	-20.1254837617034	-26.4049095251815	4.40925451849141
"ENSG00000103485.13"	9.19089298349405	-32.1618768844096	-29.149542174427	-64.5060395287614	-56.7643456507952	27.6509397271715	2.33435257222107	37.2127297126391	20.0394119485377	-5.67386081561248	3.39309570377645	0.991033194784559
"ENSG00000142273.6"	-11.578599161505	4.71843393528328	-5.8583767389537	-5.31189922534825	2.44507005148588	40.6699064952946	122.830845111022	-69.1876153701596	-54.5692019234253	-133.591733670082	-140.926617950576	-12.2208938567554
"ENSG00000184792.11"	5.05370695380391	6.26866690941776	3.75316625626299	-17.9420105461794	-0.854322857545453	20.1977591701393	17.0152389601071	4.31584585953047	4.46398202021744	-3.54122914595745	-4.0244284645196	3.71218242020994
"ENSG00000125869.5"	0.265831058927793	0.53488986225434	-3.27993858825924	4.55119694553186	13.4856990092898	25.4180502778078	21.2952341054659	51.1323908154179	56.9617095651862	-2.19348568855219	-1.20907576043482	0.919204954958435
"ENSG00000106404.9"	32.9748546206573	29.5391373212039	31.8325111135782	140.409445124097	137.580375022252	328.273314075308	-119.641785785567	297.248992382635	227.434648934117	228.235656785251	318.121989341554	25.7996763717704
"ENSG00000152520.9"	-2.23940358049915	2.30895338799502	-0.12928709284494	4.65718738302174	-2.1186089384872	27.6569927579213	-1.76202847562563	48.1175458231151	-11.1996294546766	7.61187376759117	9.13328672374446	5.07808552390407
"ENSG00000137507.7"	-3.32061910677417	1.45486801761593	-5.24849199173151	-7.73832529198439	-17.9213406200002	31.1237253667941	95.082838745906	4.72379654208196	6.26950808194817	1.89453490775785	2.34970533556645	4.00260812607117
"ENSG00000186723.2"	9.43526500152628	-2.49521345565547	11.436083570362	-12.0769804448877	-6.92731644179802	48.7062808868046	46.2014761336385	7.31248813793019	2.44711095919401	0.946883455792511	1.92954320581206	-4.9917094888165
"ENSG00000177042.10"	5.6870018520474	-0.428673114394913	2.62567118291648	-12.1415652739377	-11.7313902286923	24.1716536673409	12.4131284688071	9.85318332631974	19.1203607546442	-4.90720796549092	-7.40843325389066	-4.81512932522778
"ENSG00000182173.8"	-37.0786508408591	-2.71262191967525	-5.176827426216	3.70318772057748	-20.1205158732162	198.950955007775	78.6206463141999	2480.65105071571	1365.16130432393	-35.8351330548047	-47.4796843090921	2.68408650716973
"ENSG00000049860.9"	-24.8179612905655	-12.9398510362371	-26.0714900920241	-226.600042154893	-169.263996585199	3154.97493130999	148.524135628447	-60.8845851802162	-105.040391806647	-33.805531864339	-52.2756724649338	-6.16973926153727
"ENSG00000213398.3"	-3.08140068980931	18.620726526445	26.4257361995601	19.5383040456277	13.6121838660758	205.953552322462	127.838389958423	-262.209715052824	-289.389897552375	-8.95610368795218	-15.7610572414082	28.9294289067106
"ENSG00000147140.11"	-469.612760910902	-20.9803356036851	-68.9901319800032	-110.504309295476	-72.2959731615871	-3281.98021159968	-841.810077633359	-100.879591185596	-140.890888414888	-187.113696834705	-236.478324588552	-58.3704500666171
"ENSG00000137876.5"	-1.55939503319967	-4.60437758737015	-16.6562482410198	-108.965878520752	-5.83489937286157	-100.599535350503	-87.3640443141723	131.161702101722	44.3342487307505	-154.466893400209	-116.952323853969	-2.8091550375774
"ENSG00000105655.14"	1.06062113274025	-8.88947389348398	2.80246920504031	-55.5510045480844	-42.1032579420262	19.7453782714068	36.333772668065	-224.752433803256	-102.234707952739	-47.318226735307	-62.5817457188535	-13.6583078377041
"ENSG00000175581.9"	-5.28108548109716	8.65725777314925	12.1585372032629	-38.3002751351274	-27.0258644105729	-35.770102439111	-17.4495946348064	-70.0904438983274	-69.4025688316338	-19.6151258559588	-9.61482024692339	6.52236451396381
"ENSG00000228300.9"	1.8459547543708	3.53806121390844	2.43401249118231	-85.002040472075	-75.5025367781965	33.7085374841429	4.97593349968133	-19.6403535379616	-11.5151730021302	-55.4027440432004	-53.3627355021371	-0.850641329564624
"ENSG00000075643.5"	-22.9430534792116	13.5894424060113	8.88113168848572	-3.68964927064391	1.18974458658929	5.64856556909388	-39.6862980782549	-40.6874196465217	-137.400403705102	3.96648765253572	4.90930613836257	6.29681415691927
"ENSG00000211584.9"	-0.211237757715332	2.30337997861279	1.20426161867254	-45.3398289968708	-33.9664646177461	-38.1664869333402	-39.8911143420928	-100.932312959049	-79.6538553174304	-20.5197316758552	-24.1829732351715	2.57559003410162
"ENSG00000047644.13"	0.352003237349974	12.4705254738791	8.42783625713959	-1.9202276984574	-14.0586532190985	-59.1157047850039	-18.3751778554042	-20.6556466249634	-9.0495391141858	4.36547466039778	7.61933088182904	15.2166922344967
"ENSG00000082497.7"	8.06633366876129	9.4521974910065	2.71870799426839	-5.81231537897582	-2.38181747290847	4.10826475997737	7.05595793433439	-17.6948079832498	-17.9845034783849	1.63206711322783	-0.954211175321641	11.1749686690248
"ENSG00000173320.5"	10.2485249197451	9.1643157235601	8.9415721820278	13.6822201522188	11.4770856578226	-159.915802767355	-47.1827026921876	-1265.16525610159	-1408.48789389187	12.7558754187469	16.900071012861	16.1172963704682
"ENSG00000165553.4"	9.70978742050242	26.4124818770587	19.0317002365037	-21.2877010504124	7.09957289485301	-184.941880737859	49.2020223777004	-1734.15455332646	-3883.49881276337	1.72283737219152	6.55999806331844	9.58376496040467
"ENSG00000139637.9"	-29.6990270885784	37.3149520527263	4.81629897916932	62.1165178333598	-19.850841808951	-1324.34106803638	128.143084595791	-451.119794392348	-56.3241817351919	-220.790776370915	-191.371826454999	0.146928654763368
"ENSG00000174748.14"	-402.495737711694	-115.647227773528	-189.49646196748	-3281.41148696817	-2714.74647314682	-2436.2997545682	-2343.00739591339	-1385.05545284769	-706.749308998187	-2416.99711894118	-2266.05395406625	-137.651061508777
"ENSG00000119787.9"	-98.2449143724819	-1053.10982749108	-147.027485813991	-660.433658769491	-382.038524663692	130.795252201771	38.37028364657	-93.6630358722878	-130.885705987404	-96.6688849223937	-67.9664305836184	12.9846598307165
"ENSG00000182827.8"	1.34509132546069	-2.04528582844733	-3.12993556253594	5.31603971571491	-3.01225644018946	-138.541620949957	-32.1365369535335	-321.678860978058	-501.583085792958	3.29729746745717	3.0417593308931	-1.3025937674492
"ENSG00000071205.7"	-52.5943142213662	27.4264393973703	9.04280611355974	5.69089021011629	2.72059933076591	-580.641399069345	-2258.91299509696	-3.05857876524668	42.7888173791181	2.19635595886289	1.20069770726783	-111.595666904688
"ENSG00000102890.10"	7.52467934913361	22.2689229100172	-12.3647625964923	-12879.8964666793	-4103.93673311259	-13526.4652207579	-1741.59640864411	-3626.89855973095	-2589.42782959195	-1007.5445419555	-238.66363089449	1.0903991494338
"ENSG00000175073.7"	11.0398206045765	0.580839803560818	8.06768896797722	-2.7344588452018	-1.91588526066546	-90.2961072299542	0.0413140602093094	-7.57518793401433	-16.9087839619479	53.0020131159263	68.2087269543575	10.3155830010861
"ENSG00000162526.6"	2.62328178032742	0.460774289400546	-5.25503239076578	9.88043178690636	16.2812147415734	18.2562304661633	62.4022371748696	34.9752453983088	31.2150790645131	-7.06571415926867	-4.14073866350479	3.6174664414741
"ENSG00000006757.7"	4.74634463417927	11.2419202811194	11.7642536102011	-5.52176998844278	1.71706662595784	-23.1510611112084	-29.8223856141707	-35.9006629790719	-25.4171875278038	-33.0636017667874	-39.5278862176932	12.3076652966024
"ENSG00000169249.8"	22.2865126494304	4.85839192687773	27.7965695308515	331.81957301466	338.11726664617	593.410358997708	149.876939652479	75.3351213904791	163.666625804379	54.0364892778052	49.7610565257234	-4.93497520119378
"ENSG00000154080.8"	-11.583866927168	11.3132679946794	2.4910603472902	-12.3687474067155	-3.61868429233895	4.34196665506041	52.2976506533668	-331.005398782198	-651.231782189988	8.51907610490537	11.1023405227008	9.46539368468938
"ENSG00000180628.10"	-107.688315834537	-1386.23452324958	-194.630998232647	-1840.01285748719	-974.682925955572	257.412986830955	81.2859479950287	-2603.18819041165	-629.227428994865	-140.160124935891	-101.367049206297	24.4748328809556
"ENSG00000107816.13"	-6.69441120700811	4.63758026591356	11.9799013398379	-2.20723977885634	-9.64062702411344	-641.369631918759	-66.7758783731954	-26.5038096517537	-4.76732561940116	-19.505782880218	-29.5887138723718	-10.9736482547005
"ENSG00000221955.6"	-115.824402344532	-4571.29102307553	-881.474715324793	-104.263549589046	182.830082561786	-7706.48216512499	248.410799886667	-17587.0028193063	-1471.96450098077	-123.826804992243	-159.399457164547	-114.354725788201
"ENSG00000118420.12"	5.85291405895015	4.4818603476338	7.45662641469755	-211.192139979841	-1113.92236504664	-1384.01220292923	-940.876378670354	-18.5431137601809	-24.0542662346655	2.81199383653543	0.260598649511264	26.9936409341464
"ENSG00000186007.5"	9.72331578135918	6.80726298485798	-43.4325791288467	-6.58275819488944	-1.92752166383493	25.435335786162	23.9455290608811	187.212358180262	337.564072428368	11.1935609475667	6.89952930863191	1.46997084137591
"ENSG00000112531.12"	-39.0169132832772	-13.8095471764748	-24.6637120518629	-1.78583929079057	-3.53789091568486	-52.5835850023639	-9.13080467105751	-101.728939774886	-169.969214109343	3.87971911957118	9.21619800117467	-10.6646573163031
"ENSG00000103540.12"	-61.4088194158579	-53.8272475127368	-52.0056980539058	-360.482124049098	-386.932216114997	359.635645911646	1202.54501523674	-1094.22902801563	-1377.14224415431	-261.353969676715	-223.727232722932	6.66646654658201
"ENSG00000173465.3"	146.834777148375	4.8160270457606	75.6065329315611	68738.8150187261	25088.66399575	333022.903459333	47343.7322070349	93617.4104919194	51735.9366772445	18157.8156979579	9063.72165197569	52.9487899193686
"ENSG00000170965.5"	25.6715173237457	31.0446104497883	3.85798526841946	18.607485389965	29.7850484685489	-23.6334845947562	16.487022593597	846.362206176692	1588.99406872899	7.77550341384865	5.13997737630909	39.0125307059279
